SHKR+ MENU	≡ SHAKER+ MENU
Whack Snare	Whack Snare Drum
Rap Snare	Rap Snare Drum
Jungle Snr 1	Jungle Snare Drum 1
Antigua Snr	Antigua Snare Drum
Real Snare	Real Snare Drum
Tiny Snare 1	Tiny Snare Drum 1
Tiny Snare 2	Tiny Snare Drum 2
Break Snare1	Break Snare Drum 1
Break Snare2	Break Snare Drum 2
MC Snare	MC Snare Drum
East Snare	East Snare Drum
Phat Snare	Phat Snare Drum
Brush Slap 1	Brush Slap 1
Brush Slap 2	Brush Slap 2
Deep Snare	Deep Snare Drum
Fat Snare	Fat Snare Drum
Disco Snare	Disco Snare Drum
DJ Snare	DJ Snare Drum
Macho Snare	Macho Snare Drum
Hash Snare	Hash Snare Drum
Lo-Hard Snr	Low-Hard Snare Drum
Indus Snare	Industrial Snare Drum
Rage Snare	Raggae Snare Drum
TekRok Snare	TekRok Snare Drum
Big Trash SD	Big Trash Snare Drum
Ragga Rim 2	Ragga Rimshot 2
Gate Rimshot	Gate Rimshot
SideStiker	Side Stiker
HipJazz Snr	Hip Jazz Snr
HH Soul Snr	Hi-Hat Soul Snr
Cross Snare	Cross Snare Drum
Jungle Rim 1	Jungle Rimshot 1
Ragga Snr 2	Ragga Snare Drum 2
Upper Snare	Upper Snare Drum
Lo-Fi Snare	Low Fidelity Snare Drum
RaggaTightSD	Ragga Tight Snare Drum
Flange Snr	Flange Snare
Machine Snr	Machine Snare
Clap Snare 3	Clap Snare Drum 3
Solid Snare	Solid Snare Drum
Funk Clap 2	Funk Clap 2
Jungle Rim 2	Jungle Rimshot 2
Jungle Rim 3	Jungle Rimshot 3
Jungle Snr 2	Jungle Snare Drum 2
Urban Snare	Urban Snare Drum
Urban RollSD	Urban Roll Snare Drum
R&B Snare	R&B Snare Drum
R8 Brush Tap	R-8 Brush Tap
R8 BrshSwill	R-8 Brush Swill
R8 BrushRoll	R-8 Brush Roll
Sim Snare	Sim Snare Drum
ElectroSnr 1	Electro Snare Drum 1
ElectroSnr 2	Electro Snare Drum 2
Synth Snare	Synth Snare Drum
Roll Snare	Roll Snare Drum
KICK MENU 1	≡ KICK DRUM MENU 1
KICK MENU 2	≡ KICK DRUM MENU 2
KICK MENU 3	≡ KICK DRUM MENU 3
TR909 Kick 1	TR-909 Kick Drum 1
TR909 Kick 2	TR-909 Kick Drum 2
TR909 Kick 3	TR-909 Kick Drum 3
TR909 Kick 4	TR-909 Kick Drum 4
Plastic BD 1	Plastic Bass Drum 1
Plastic BD 2	Plastic Bass Drum 2
Plastic BD 3	Plastic Bass Drum 3
Plastic BD 4	Plastic Bass Drum 4
TR909 Kick 5	TR-909 Kick Drum 5
TR808 Kick 1	TR-808 Kick Drum 1
TR808 Kick 2	TR-808 Kick Drum 2
TR808 Kick 3	TR-808 Kick Drum 3
TR808 Kick 4	TR-808 Kick Drum 4
TR808 Kick 5	TR-808 Kick Drum 5
TR606 Kick	TR-606 Kick Drum
TR606 Dst BD	TR-606 Distored Bass Drum
TR707 Kick 1	TR-707 Kick Drum 1
TR707 Kick 2	TR-707 Kick Drum 2
Toy Kick	Toy Kick Drum
Analog Kick	Analog Kick Drum
Boost Kick	Boost Kick Drum
West Kick	West Kick Drum
JungleKick 1	Jungle Kick Drum 1
Optic Kick	Optic Kick Drum
Wet Kick	Wet Kick Drum
Lo-Fi Kick 1	Low Fidelity Kick Drum 1
Hazy Kick	Hazy Kick Drum
Hip Kick	Hip Kick Drum
Video Kick	Video Kick Drum
Tight Kick	Tight Kick Drum
Break Kick	Break Kick Drum
Turbo Kick	Turbo Kick Drum
Ele Kick	Electronic Kick Drum
Dance Kick 1	Dance Kick Drum 1
Kick Ghost	Kick Drum Ghost
Lo-Fi Kick 2	Low Fidelity Kick Drum 2
JungleKick 2	Jungle Kick Drum 2
TR909 Dst BD	TR-909 Distored Bass Drum
Amsterdam BD	Amsterdam Bass Drum
Gabba Kick	Gabba Kick Drum
Roll Kick	Roll Kick Drum
