TR626 CHH	TR-626 Closed Hi-Hat
TR909 CHH 3	TR-909 Closed Hi-Hat 3
Lil' Hat	Little Hat
HipHop Hat 1	Hip Hop Hat 1
HipHop Hat 2	Hip Hop Hat 2
DR110 OHH	DR-110 Open Hi-Hat
DR220 OHH	DR-220 Open Hi-Hat
TR505 OHH	TR-505 Open Hi-Hat
TR626 OHH	TR-626 Open Hi-Hat
CYMBAL MENU2	≡ CYMBAL MENU2
DR110 Cym	DR-110 Cymbal
DR220 Cym	DR-220 Cymbal
TR626 Crash	TR-626 Crash Cymbal
16 Drk Crash	16 Dark Crash Cymbal
DR220 Ride	DR-220 Ride Cymbal
TR626 Ride	TR-626 Ride Cymbal
TR626 China	TR-626 China Cymbal
TR626 CupCym	TR-626 Cup Cymbal
ASIAGNG MENU	≡ ASIA GONG MENU
Asian Gong 1	Asian Gong 1
Asian Gong 2	Asian Gong 2
Asian Gong 3	Asian Gong 3
Asian Gong 4	Asian Gong 4
Asian Gong 5	Asian Gong 5
Asian Gong 6	Asian Gong 6
Asian Gong 7	Asian Gong 7
CLAP MENU 3	≡ CLAP MENU 3
DR110 Clap	DR-110 Clap
DR220 Clap	DR-220 Clap
TR505 Clap	TR-505 Clap
TR909 Clap 3	TR-909 Clap 3
TR909 Clap 4	TR-909 Clap 4
TR909 SnClp1	TR-909 Snare Drum Clap 1
TR909 SnClp2	TR-909 Snare Drum Clap 2
Afro Clap	Afro Clap
SNR MENU 7	≡ SNARE MENU 7
DR110 Snr	DR-110 Snare Drum
DR220 Snr	DR-220 Snare Drum
TR505 Snr	TR-505 Snare Drum
TR626 Snr 2	TR-626 Snare Drum 2
TR626 Snr 3	TR-626 Snare Drum 3
TR909 Snr 8	TR-909 Snare Drum 8
Funk Snr 1	Funk Snare Drum 1
Picc. hrd Sn	Piccolo hard Snare Drum
Picc. rol Sn	Piccolo rolling Snare Drum
PurePhat Snr	Pure Phat Snare Drum
Slamn' Snr	Slamming Snare Drum
KICK MENU 4	≡ KICK DRUM MENU 4
KICK MENU 5	≡ KICK DRUM MENU 5
DR110 Kick	DR-110 Kick Drum
DR220 Kick	DR-220 Kick Drum
TR505 Kick	TR-505 Kick Drum
TR626 Kick 1	TR-626 Kick Drum 1
TR626 Kick 2	TR-626 Kick Drum 2
TR909 Kick 6	TR-909 Kick Drum 6
TR909 Kick 7	TR-909 Kick Drum 7
TR909 Kick 8	TR-909 Kick Drum 8
TR909 Kick 9	TR-909 Kick Drum 9
TR909 Kick10	TR-909 Kick Drum 10
HipHop Kick1	Hip Hop Kick Drum 1
JungleKick 2	Jungle Kick Drum 2
HipHop Kick2	Hip Hop Kick Drum 2
HipHop Kick3	Hip Hop Kick Drum 3
Hall Kick 2	Hall Kick Drum 2
